speaker,total_duration
khanh-hoa_3600676,1150.2412500000003
đa-nang_0301658,1136.0000000000002
khanh-hoa_0368023,1103.926625
binh-thuan_3532501,1087.6626250000002
binh-đinh_0320870,1079.21325
đa-nang_0325328,1074.976
binh-đinh_0301160,1051.7327500000001
khanh-hoa_3564464,1040.4424999999999
quang-ngai_3636987,1032.1454999999999
quang-nam_0995991,1022.9120000000004
ninh-thuan_3513780,1015.2000000000004
khanh-hoa_3547359,1010.6568749999998
đa-nang_0367846,1009.2118750000002
khanh-hoa_0020439,1008.5092500000001
khanh-hoa_3505933,1008.2239999999999
khanh-hoa_0959278,1006.4959999999999
ha-tinh_3647367,1005.5359999999998
khanh-hoa_0020471,1002.9398749999998
khanh-hoa_3535792,998.7840000000006
binh-đinh_3522429,997.5330000000008
khanh-hoa_0356235,994.6049999999998
ha-tinh_0327981,994.0838749999997
quang-nam_3517805,993.5911249999998
khanh-hoa_3611466,985.4811249999997
khanh-hoa_0950799,982.0160000000004
đa-nang_0363610,981.5026250000001
đa-nang_3589711,978.7493750000002
khanh-hoa_0364083,977.9332499999998
khanh-hoa_0307037,976.9462499999998
khanh-hoa_0020390,971.6066250000003
khanh-hoa_0314160,969.9997499999998
khanh-hoa_0327797,961.83175
ha-tinh_3530941,958.4607500000004
khanh-hoa_3618259,955.6783750000003
ninh-thuan_3616755,955.2959999999999
ha-tinh_3521188,953.4080000000006
binh-thuan_3622562,948.4463750000003
khanh-hoa_3500264,941.8974999999997
khanh-hoa_0040015,941.69325
binh-thuan_0314784,936.7186249999997
khanh-hoa_0377901,936.4292500000001
khanh-hoa_0327862,933.7492500000001
binh-đinh_0314864,932.8508749999999
binh-đinh_3616052,932.8320000000004
binh-thuan_3600395,926.1755
khanh-hoa_3521551,923.7062499999994
binh-đinh_3593120,922.6879999999995
khanh-hoa_0305515,922.1503750000003
khanh-hoa_0320213,922.1423749999999
binh-thuan_3504921,921.1846250000003
khanh-hoa_0327849,921.1066250000001
khanh-hoa_0328112,920.6626250000002
