speaker,total_duration
hai-phong_3557363,1177.8560000000002
hai-duong_3550218,1154.6944999999996
hung-yen_0349206,1147.2891250000002
hai-phong_3558953,1104.1332499999999
hai-phong_3554161,1101.238625
ninh-binh_3587586,1080.1445
hai-duong_0957351,1078.0479999999998
hai-phong_3546251,1075.7439999999997
hai-phong_3650991,1074.142
hai-phong_3578066,1073.2635000000002
hai-phong_3586606,1073.2157499999998
vinh-phuc_3605544,1072.446625
hai-phong_3550022,1068.0640000000005
hai-phong_3566944,1067.648
hai-phong_3551431,1066.4132499999996
hai-phong_3550252,1062.5357500000005
hai-phong_3610014,1058.2015000000004
hai-phong_3519751,1043.6897499999995
ha-giang_3638681,1043.4664999999995
hung-yen_0360123,1034.5266250000004
hai-phong_3552914,1031.4066249999998
hai-phong_3544786,1026.432
ninh-binh_0333091,1026.336625
hai-phong_3535242,1023.4529999999996
hai-duong_3544884,1022.9986250000004
hai-phong_3542402,1021.9839999999998
hai-duong_3626795,1021.8600000000004
ninh-binh_3569922,1020.4648749999998
hai-phong_3646824,1017.6
hai-phong_3548597,1014.830625
son-la_3642076,1012.0319999999991
hai-duong_3649131,1010.7839999999999
hai-phong_3547659,1007.2075000000002
hai-phong_3554121,1005.2425000000001
ha-nam_3646138,1003.6345
quang-ninh_0997855,999.5048750000005
hai-duong_3554128,999.0207499999993
hung-yen_3580741,997.6212499999996
thai-nguyen_3650910,996.5621250000003
hai-phong_3500050,994.2692499999994
quang-ninh_3542470,994.143999999999
hai-phong_3535241,993.7279999999997
hai-phong_3558422,992.2560000000004
ninh-binh_3522237,990.4598749999998
hai-phong_0327158,985.902625
hai-duong_3570705,984.1688749999998
ninh-binh_0321664,982.27425
hai-phong_3535262,979.7426249999997
hai-duong_3564237,977.7233749999998
hai-phong_3589713,976.3426250000003
hai-phong_3556846,976.2866249999998
lang-son_3514934,975.3636250000002
hung-yen_3644898,975.3398750000001
hai-phong_3586631,974.7840000000001
hai-phong_3584839,974.3666250000001
hai-phong_3561445,972.0961250000001
hai-duong_3589847,971.510375
hai-phong_3565360,969.344
hai-phong_3548136,968.7506250000002
hai-duong_0914931,964.6531250000003
hai-phong_3532727,964.0533750000003
hai-phong_3554134,963.8943749999999
ha-nam_3558499,963.0226249999992
hung-yen_0334685,962.7519999999997
hung-yen_3546751,962.7026250000002
ninh-binh_3562248,962.5279999999998
hai-phong_3649663,961.9200000000001
hai-phong_3562858,961.5615000000001
hai-phong_3613320,961.5359999999997
hai-phong_3539802,958.83725
hai-phong_3560796,958.0290000000003
ninh-binh_3516218,957.7919999999998
hung-yen_3629444,956.8960000000008
quang-ninh_3561466,956.0552499999998
thai-nguyen_0342788,955.9131250000003
ha-nam_3532582,955.5005000000004
hai-phong_0351468,955.0827499999996
lang-son_0919858,954.5798749999994
hai-phong_3558915,954.2703750000001
hai-phong_3526618,954.0799999999998
hai-phong_3549398,951.2319999999999
hung-yen_0348779,950.7448749999998
hung-yen_0941358,949.6640000000003
hai-phong_3539759,949.4692500000002
hai-phong_0333912,949.4248750000004
thai-nguyen_3603271,947.2038750000003
ha-nam_3520993,947.1569999999998
hai-phong_3553159,947.150625
hai-duong_3564134,946.8159999999997
ha-nam_3638478,943.4392499999998
hai-phong_3516863,942.0241250000006
hai-phong_3560780,941.0516249999997
hai-phong_3515188,939.7492499999997
quang-ninh_3584105,939.4378749999997
hai-duong_3554234,939.1680000000001
hai-duong_0305979,938.0800000000003
hai-duong_0927096,937.8239999999998
ninh-binh_3545738,937.1906250000001
quang-ninh_0314050,936.7359999999995
ninh-binh_3620498,935.5078749999996
hai-phong_3514409,935.5038749999995
hai-phong_0328615,934.610625
quang-ninh_0983895,933.8866249999996
ninh-binh_0331678,931.853125
hai-phong_0366214,931.0292499999999
hai-phong_3599480,930.6146249999999
ninh-binh_0932162,930.4959999999998
lao-cai_3529155,928.8838750000001
hai-phong_3613841,927.1471249999996
quang-ninh_3511806,926.0786249999996
hai-phong_3574535,925.9520000000001
hai-phong_3539797,925.5146249999998
ha-nam_3548377,925.4111250000001
thai-nguyen_3646549,924.0888749999997
ha-nam_0357244,924.0436249999996
hai-phong_3527540,924.0292499999998
hung-yen_3565886,923.4240000000001
hai-phong_3560935,920.8447500000002
hai-phong_3579764,920.7999999999995
hai-phong_3562827,919.5012499999998
hai-phong_3561454,919.3599999999997
ha-nam_3633193,918.1569999999996
hai-phong_3500363,917.9434999999999
quang-ninh_3520913,917.8877500000004
ha-nam_0926373,917.3666250000002
ninh-binh_0334596,917.0929999999996
ninh-binh_3641578,916.7586249999997
hai-phong_3516967,916.1600000000001
hai-phong_3564220,915.9677499999997
hai-duong_3504295,915.6461249999999
vinh-phuc_3544849,914.9379999999996
lang-son_0327444,914.854375
hai-duong_3561423,914.6880000000003
hai-duong_3570702,914.0703749999994
ha-nam_3532119,912.1600000000003
hai-duong_3622083,911.8506250000002
hai-phong_3610087,911.5649999999997
hai-duong_0995330,911.5519999999997
ha-nam_3570506,911.4358749999998
hai-phong_3568488,911.2278750000006
thai-nguyen_3550021,910.5346250000001
hai-phong_3588654,910.082
hai-phong_0318397,909.3440000000003
hung-yen_3553243,908.9343750000003
hai-phong_3564273,908.1089999999997
ha-nam_0360902,908.0762499999995
hai-phong_3522686,907.7652499999998
vinh-phuc_3649615,906.870625
hai-phong_3572076,906.5919999999996
hung-yen_3648714,906.5106249999998
ninh-binh_0322388,905.1023749999997
hung-yen_3586144,904.542375
hai-phong_3647562,904.0651249999995
hai-duong_3558892,903.0400000000002
hai-phong_3530496,901.8239999999998
hai-phong_3650658,901.7544999999998
hai-phong_3592302,901.7449999999998
vinh-phuc_3547648,900.8358750000002
hai-duong_3576613,900.5128749999997
hai-phong_3584664,899.9999999999999
hung-yen_3553753,899.4657499999998
ha-nam_3649288,898.7782500000002
hai-phong_0375383,898.691875
hai-phong_3554133,898.2438750000001
hai-phong_3579793,898.1760000000002
thai-nguyen_3602793,897.8452499999993
hai-phong_3644643,895.9040000000002
hai-phong_3507592,895.5199999999996
hung-yen_3589707,894.4372499999998
hai-phong_3530693,893.9652500000007
thai-nguyen_0921946,893.8298749999999
hai-phong_3544037,893.8240000000003
hai-duong_3532336,893.7318749999996
hai-duong_3558529,893.6794999999995
ha-nam_0319708,893.6212499999999
hung-yen_0998868,893.5040000000004
vinh-phuc_0321671,892.982625
hai-phong_3513669,892.7131249999992
hung-yen_3630295,892.5439999999995
son-la_3578469,891.6706250000001
hai-phong_3589901,891.191
hai-phong_3562800,891.0080000000002
hai-phong_3553007,890.9371250000003
hai-duong_0333332,890.5743750000001
ninh-binh_3570562,890.3136249999999
hai-phong_3554138,889.9958750000003
ha-nam_0925214,889.931
hai-phong_3539768,889.8657499999994
hung-yen_3645037,888.8003750000001
hai-phong_3599641,888.5992499999996
hai-phong_3629441,887.6996249999999
hai-phong_3546195,887.353125
hai-phong_3527998,886.7351250000002
hai-phong_3644415,886.4640000000004
hai-phong_3544789,886.309625
son-la_3586778,885.3119999999996
hung-yen_0348793,884.5357499999999
quang-ninh_3649037,883.9586250000002
hai-duong_0334649,883.8278750000001
hai-phong_3548869,883.7697499999999
vinh-phuc_3522663,883.616
hai-phong_3543351,883.509
hai-phong_3568491,882.9225000000004
hung-yen_3648356,882.7839999999997
lai-chau_3564162,881.918625
son-la_3514440,881.4678750000002
ha-nam_3567086,881.2546249999999
hai-phong_3552920,881.1826249999999
hung-yen_3631341,880.6744999999999
hai-phong_3565337,880.6720000000004
hai-duong_3568965,880.5759999999996
son-la_0962753,879.5065000000006
hai-phong_3547635,878.26125
lang-son_3588342,877.8236250000002
lao-cai_3522570,877.5691250000001
hai-duong_3500829,876.5106249999998
hai-phong_3651945,875.7087500000002
hai-phong_3559857,875.563875
hung-yen_3635661,875.4435
hung-yen_3648760,875.3462500000004
ha-nam_3532366,874.6292500000002
hai-phong_3531990,874.3666249999999
hai-phong_0983878,874.3359999999996
hai-phong_3584866,874.24
ha-nam_0351423,873.673
quang-ninh_0922387,873.4719999999998
ninh-binh_0363063,873.3673749999996
hai-duong_3565423,872.9906250000001
hai-phong_3529047,872.4799999999999
hai-duong_3646683,872.4479999999999
vinh-phuc_3641575,872.1958749999995
vinh-phuc_0375182,870.4639999999999
ninh-binh_3593222,870.1330000000004
hai-phong_3558900,869.5503749999995
hai-duong_3549888,869.5007500000002
hai-duong_3523228,868.7851250000001
hai-phong_3626793,867.4725000000001
ha-nam_3523492,866.5572500000002
hai-phong_3529736,866.5396249999999
ha-nam_3648594,866.4319999999999
hai-duong_0362306,865.9586249999999
hung-yen_3556838,864.2105
hai-duong_0954409,863.2504999999996
thai-nguyen_0351103,863.2306250000004
hai-phong_3559167,862.6892499999998
quang-ninh_3517949,861.2866250000001
son-la_3532462,860.4505000000001
hung-yen_3522223,860.4052499999997
lang-son_3648563,860.3592499999999
son-la_3514436,860.2549999999999
ha-nam_3532188,860.2445000000001
hai-phong_3572035,860.1398749999995
lai-chau_3564680,859.5211249999999
hung-yen_3546202,859.2000000000002
ha-nam_3606493,859.12775
hai-phong_3554890,858.6066249999997
ha-nam_0950209,858.5279999999999
hai-phong_0317600,858.4000000000009
ha-nam_0997839,858.3999999999992
hai-phong_3558906,857.8372499999999
thai-nguyen_3598448,857.7752499999998
vinh-phuc_3636884,857.4079999999997
ha-nam_0361580,857.0879999999995
hung-yen_3581694,856.5346249999997
hai-phong_3647927,856.416
ninh-binh_0005276,856.2381250000003
quang-ninh_0986055,856.2066250000004
hai-phong_3513945,856.0772500000002
hai-phong_3646102,855.9906249999998
vinh-phuc_0951397,855.7517499999999
hai-phong_3542239,855.68
hung-yen_3626794,855.4292499999999
ha-nam_3646685,855.3279999999994
quang-ninh_3527803,855.309
hai-phong_3554113,855.3064999999997
hai-phong_3565416,854.5092500000001
hai-phong_3507088,854.32775
hai-phong_3562816,854.1186249999996
hai-duong_3610197,853.8866250000002
vinh-phuc_3557882,853.8442500000006
hai-phong_3549601,851.6800000000002
ninh-binh_3583213,851.675125
hai-phong_3610074,851.4425000000002
hai-duong_3600955,851.4265000000001
vinh-phuc_3638288,851.1172500000001
hai-duong_0319776,850.9944999999998
hai-phong_3543385,850.7953750000001
lang-son_3529523,850.56
quang-ninh_3635441,850.368000000001
hai-phong_3610033,849.6394999999997
quang-ninh_3649620,849.0559999999999
hai-phong_3544855,848.7681249999995
hung-yen_3510403,848.2463749999998
thai-nguyen_3558495,848.200875
hai-phong_3532952,848.05025
hai-phong_3564263,847.7926250000002
hung-yen_0926336,847.7732500000001
ha-nam_3644511,847.5512499999998
hai-phong_3649189,847.3782500000001
hai-phong_3572581,847.2678750000001
ha-nam_3546777,847.072
quang-ninh_3562396,846.7677499999996
hung-yen_0374537,846.6932499999999
hai-phong_3588645,846.147875
bac-kan_3568005,846.1106249999998
hai-phong_3558986,845.7976249999997
ninh-binh_3611709,845.6639999999996
ninh-binh_3585096,845.2480000000004
